anonid,obsnum,behavior-ontask,behavior-ontaskconv,behavior-offtask,affect-frustrated,affect-concentrating,affect-confused,affect-bored
student36,8,1,0,0,0,1,0,0
student36,9,1,0,0,0,1,0,0
student36,10,1,0,0,0,1,0,0
student36,11,0,0,0,0,0,0,0
student36,12,1,0,0,0,1,0,0
student36,13,1,0,0,0,1,0,0
student36,14,1,0,0,0,1,0,0
student36,15,0,0,0,0,0,0,0
student36,16,0,1,0,0,1,0,0
student36,17,0,1,0,0,0,1,0
student36,18,0,1,0,0,0,0,0
student36,19,0,1,0,0,1,0,0
student36,20,1,0,0,0,1,0,0
student37,1,1,0,0,0,1,0,0
student37,2,1,0,0,0,1,0,0
student37,3,1,0,0,0,1,0,0
student37,4,1,0,0,0,1,0,0
student37,5,0,1,0,0,1,0,0
student37,6,0,1,0,0,1,0,0
student37,7,0,1,0,0,1,0,0
student37,8,0,1,0,0,1,0,0
student37,9,1,0,0,0,1,0,0
student37,10,1,0,0,0,1,0,0
student37,11,1,0,0,0,1,0,0
student37,12,1,0,0,0,1,0,0
student38,1,1,0,0,0,1,0,0
student38,2,1,0,0,0,1,0,0
student38,3,1,0,0,0,1,0,0
student38,4,1,0,0,0,1,0,0
student39,1,0,1,0,0,1,0,0
student39,2,0,1,0,0,1,0,0
student39,3,1,0,0,0,1,0,0
student39,4,1,0,0,0,1,0,0
student39,5,1,0,0,0,1,0,0
student39,6,1,0,0,0,1,0,0
student39,7,1,0,0,0,1,0,0
student39,8,1,0,0,0,1,0,0
student39,9,0,0,0,0,0,0,0
student39,10,1,0,0,0,1,0,0
student39,11,1,0,0,0,0,1,0
student39,12,1,0,0,0,1,0,0
student39,13,1,0,0,0,1,0,0
student39,14,1,0,0,0,1,0,0
student39,15,1,0,0,0,1,0,0
student39,16,0,0,0,0,0,0,0
student39,17,0,0,0,0,0,0,0
student39,18,1,0,0,0,1,0,0
student39,19,1,0,0,0,1,0,0
student39,20,0,0,1,0,0,0,1
student39,21,0,0,0,0,0,0,0
student39,22,1,0,0,0,1,0,0
student39,23,0,1,0,0,1,0,0
student39,24,0,1,0,0,1,0,0
student39,25,1,0,0,0,1,0,0
student39,26,1,0,0,0,1,0,0
student39,27,1,0,0,0,1,0,0
student39,28,1,0,0,0,1,0,0
student39,29,1,0,0,0,1,0,0
student39,30,1,0,0,0,1,0,0
student40,1,1,0,0,0,1,0,0
student40,2,1,0,0,0,0,1,0
student40,3,1,0,0,0,1,0,0
student41,1,0,1,0,0,1,0,0
student41,2,1,0,0,0,1,0,0
student41,3,0,1,0,0,1,0,0
student41,4,0,1,0,0,1,0,0
student41,5,0,1,0,0,1,0,0
student41,6,0,1,0,0,0,1,0
student41,7,1,0,0,0,1,0,0
student41,8,1,0,0,0,1,0,0
student41,9,0,1,0,0,1,0,0
student41,10,1,0,0,0,0,1,0
student41,11,0,1,0,0,0,1,0
student41,12,0,0,1,0,0,0,1
student41,13,0,0,0,0,0,0,0
student42,1,1,0,0,0,1,0,0
student42,2,1,0,0,0,1,0,0
student42,3,1,0,0,0,0,0,1
student42,4,1,0,0,0,0,1,0
student42,5,1,0,0,0,0,1,0
student42,6,1,0,0,0,0,0,1
student42,7,1,0,0,0,1,0,0
student42,8,1,0,0,0,1,0,0
student42,9,1,0,0,0,1,0,0
student42,10,1,0,0,0,0,1,0
student42,11,0,1,0,0,0,1,0
student42,12,0,0,1,0,0,0,0
student42,13,1,0,0,0,1,0,0
student42,14,1,0,0,1,0,0,0
student42,15,1,0,0,0,1,0,0
student42,16,1,0,0,1,0,0,0
student42,17,1,0,0,0,1,0,0
student42,18,1,0,0,0,1,0,0
student42,19,0,0,1,0,0,0,1
student42,20,1,0,0,1,0,0,0
student42,21,1,0,0,0,1,0,0
student42,22,0,1,0,0,1,0,0
student42,23,1,0,0,0,1,0,0
student42,24,1,0,0,0,1,0,0
student42,25,1,0,0,0,1,0,0
student42,26,1,0,0,0,1,0,0
student42,27,0,1,0,0,0,1,0
student42,28,1,0,0,0,1,0,0
student42,29,1,0,0,0,1,0,0
student42,30,1,0,0,0,1,0,0
student42,31,1,0,0,0,1,0,0
student43,1,0,1,0,0,1,0,0
student43,2,0,1,0,0,0,1,0
student43,3,1,0,0,0,1,0,0
student43,4,0,1,0,0,1,0,0
student43,5,1,0,0,0,1,0,0
student43,6,1,0,0,0,1,0,0
student43,7,1,0,0,0,1,0,0
student43,8,0,1,0,0,1,0,0
student43,9,0,1,0,0,1,0,0
student43,10,1,0,0,0,1,0,0
student43,11,1,0,0,0,1,0,0
student43,12,1,0,0,0,1,0,0
student44,1,1,0,0,0,1,0,0
student44,2,1,0,0,0,1,0,0
student44,3,0,0,1,0,1,0,0
student44,4,1,0,0,0,1,0,0
student44,5,1,0,0,0,0,0,0
student44,6,1,0,0,0,0,0,0
student44,7,1,0,0,0,1,0,0
student44,8,0,0,0,0,0,0,0
student44,9,1,0,0,0,0,1,0
student44,10,1,0,0,0,0,1,0
student44,11,0,1,0,0,1,0,0
student44,12,0,0,0,0,0,0,0
student45,1,1,0,0,0,1,0,0
student45,2,1,0,0,0,1,0,0
student45,3,1,0,0,0,1,0,0
student45,4,1,0,0,0,1,0,0
student45,5,1,0,0,0,1,0,0
student45,6,1,0,0,0,1,0,0
student45,7,1,0,0,0,1,0,0
student45,8,1,0,0,0,1,0,0
student45,9,0,1,0,0,0,1,0
student45,10,1,0,0,0,1,0,0
student45,11,1,0,0,0,1,0,0
student45,12,1,0,0,0,1,0,0
student45,13,1,0,0,0,1,0,0
student46,1,1,0,0,0,1,0,0
student46,2,1,0,0,0,0,1,0
student46,3,1,0,0,0,1,0,0
student46,4,1,0,0,0,0,0,0
student46,5,1,0,0,0,1,0,0
student46,6,1,0,0,0,1,0,0
student46,7,1,0,0,0,1,0,0
student46,8,1,0,0,0,1,0,0
student46,9,1,0,0,0,1,0,0
student46,10,1,0,0,0,1,0,0
student46,11,1,0,0,0,1,0,0
student46,12,1,0,0,0,1,0,0
student46,13,1,0,0,0,1,0,0
student46,14,1,0,0,0,1,0,0
student46,15,1,0,0,0,1,0,0
student46,16,1,0,0,0,1,0,0
student47,1,1,0,0,0,1,0,0
student47,2,0,0,0,0,0,0,0
student47,3,1,0,0,0,1,0,0
student47,4,0,1,0,0,0,1,0
student47,5,0,1,0,0,1,0,0
student47,6,1,0,0,0,1,0,0
student47,7,1,0,0,0,0,0,0
student47,8,1,0,0,0,1,0,0
student47,9,1,0,0,0,1,0,0
student47,10,1,0,0,0,1,0,0
student47,11,1,0,0,0,1,0,0
student47,12,1,0,0,1,0,0,0
student47,13,1,0,0,0,1,0,0
student47,14,1,0,0,0,1,0,0
